district,mandal,season,crop,records,total_normal_area,total_actual_area,average_normal_area,average_actual_area,cultivation_share
Adilabad,Boath,Rabi,Other Food Crops,2,212.0,25.0,106.0,12.5,0.0028115159694107063
Adilabad,Boath,Rabi,Seasumum,2,68.0,13.0,34.0,6.5,0.0014619883040935672
Adilabad,Boath,Rabi,Onion,2,8.0,10.0,4.0,5.0,0.0011246063877642825
Adilabad,Boath,Rabi,Black gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Castor,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Coriander,1,54.0,0.0,54.0,0.0,0.0
Adilabad,Boath,Rabi,Cotton,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Cow gram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Green gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Ground nut,1,18.0,0.0,18.0,0.0,0.0
Adilabad,Boath,Rabi,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Other Non Food Crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Other Non-Food Crops,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Other Oil Seeds,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Other oil Seeds,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Paddy,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Paddy Irrigated,2,2.0,0.0,1.0,0.0,0.0
Adilabad,Boath,Rabi,Paddy Rainfed,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Potato,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Red gram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Redgram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Safflower,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Seasamum,1,35.0,0.0,35.0,0.0,0.0
Adilabad,Boath,Rabi,Soybean,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Sugarcane,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Sunflower,3,93.0,0.0,31.0,0.0,0.0
Adilabad,Boath,Rabi,Tabacco,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Tobacco,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Boath,Rabi,Total Non food crops,1,88.0,0.0,88.0,0.0,0.0
Adilabad,Boath,Rabi,Turmeric,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gadiguda,Kharif,Cotton,3,12090.0,16854.0,4030.0,5618.0,0.3365415335463259
Adilabad,Gadiguda,Kharif,Gross areas,2,3445.0,15891.0,1722.5,7945.5,0.3173123003194888
Adilabad,Gadiguda,Kharif,Gross Area,1,0.0,9138.0,0.0,9138.0,0.18246805111821085
Adilabad,Gadiguda,Kharif,Red gram,2,181.0,1630.0,90.5,815.0,0.032547923322683706
Adilabad,Gadiguda,Kharif,Soyabean,1,4031.0,1609.0,4031.0,1609.0,0.03212859424920128
Adilabad,Gadiguda,Kharif,Jowar,3,1649.0,1142.0,549.6666666666666,380.6666666666667,0.022803514376996806
Adilabad,Gadiguda,Kharif,Black gram,2,334.0,962.0,167.0,481.0,0.01920926517571885
Adilabad,Gadiguda,Kharif,Green gram,2,270.0,862.0,135.0,431.0,0.017212460063897764
Adilabad,Gadiguda,Kharif,Red Gram,1,1142.0,733.0,1142.0,733.0,0.014636581469648562
Adilabad,Gadiguda,Kharif,Soybean,2,664.0,277.0,332.0,138.5,0.005531150159744409
Adilabad,Gadiguda,Kharif,Paddy Irrigated,2,130.0,199.0,65.0,99.5,0.003973642172523962
Adilabad,Gadiguda,Kharif,Other Food Crops,3,124.0,191.0,41.333333333333336,63.666666666666664,0.003813897763578275
Adilabad,Gadiguda,Kharif,Maize,3,181.0,163.0,60.333333333333336,54.333333333333336,0.0032547923322683706
Adilabad,Gadiguda,Kharif,Castor,3,69.0,109.0,23.0,36.333333333333336,0.002176517571884984
Adilabad,Gadiguda,Kharif,Black Gram,1,378.0,107.0,378.0,107.0,0.0021365814696485625
Adilabad,Gadiguda,Kharif,Green Gram,1,265.0,74.0,265.0,74.0,0.0014776357827476039
Adilabad,Gadiguda,Kharif,Seasumum,2,33.0,54.0,16.5,27.0,0.0010782747603833866
Adilabad,Gadiguda,Kharif,Chillies,3,21.0,34.0,7.0,11.333333333333334,0.0006789137380191693
