year,season,district,mandal,crop,normal_area,actual_area
2016-2017,Kharif,Mancherial,Jannaram,Paddy,3083.0,2875.0
2016-2017,Kharif,Mancherial,Mancherial,Paddy,1152.0,2350.0
2016-2017,Kharif,Mancherial,Dandepalle,Paddy,2944.0,7500.0
2016-2017,Kharif,Mancherial,Luxettipet,Paddy,1900.0,3410.0
2016-2017,Kharif,Mancherial,Chennur,Paddy,2738.0,2850.0
2016-2017,Kharif,Mancherial,Kotapalle,Paddy,1735.0,1720.0
2016-2017,Kharif,Mancherial,Jaipur,Paddy,3097.0,3410.0
2016-2017,Kharif,Mancherial,Mandamarri,Paddy,685.0,975.0
2016-2017,Kharif,Mancherial,Kasipet,Paddy,379.0,450.0
2016-2017,Kharif,Mancherial,Tandur,Paddy,824.0,848.0
2016-2017,Kharif,Mancherial,Bellampalle,Paddy,794.0,692.0
2016-2017,Kharif,Mancherial,Bhimini,Paddy,1254.0,2230.0
2016-2017,Kharif,Mancherial,Nennal,Paddy,1269.0,1975.0
2016-2017,Kharif,Mancherial,Vemanpalle,Paddy,1261.0,1410.0
2016-2017,Kharif,Mancherial,Jannaram,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Jowar,1.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Maize,174.0,35.0
2016-2017,Kharif,Mancherial,Mancherial,Maize,17.0,78.0
2016-2017,Kharif,Mancherial,Dandepalle,Maize,59.0,60.0
2016-2017,Kharif,Mancherial,Luxettipet,Maize,59.0,55.0
2016-2017,Kharif,Mancherial,Chennur,Maize,135.0,140.0
2016-2017,Kharif,Mancherial,Kotapalle,Maize,96.0,85.0
2016-2017,Kharif,Mancherial,Jaipur,Maize,42.0,92.0
2016-2017,Kharif,Mancherial,Mandamarri,Maize,37.0,32.0
2016-2017,Kharif,Mancherial,Kasipet,Maize,126.0,12.0
2016-2017,Kharif,Mancherial,Tandur,Maize,93.0,46.0
2016-2017,Kharif,Mancherial,Bellampalle,Maize,72.0,80.0
2016-2017,Kharif,Mancherial,Bhimini,Maize,75.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Maize,44.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Maize,61.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Green Gram,150.0,298.0
2016-2017,Kharif,Mancherial,Mancherial,Green Gram,17.0,125.0
2016-2017,Kharif,Mancherial,Dandepalle,Green Gram,30.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Green Gram,6.0,82.0
2016-2017,Kharif,Mancherial,Chennur,Green Gram,27.0,40.0
2016-2017,Kharif,Mancherial,Kotapalle,Green Gram,23.0,36.0
2016-2017,Kharif,Mancherial,Jaipur,Green Gram,64.0,243.0
2016-2017,Kharif,Mancherial,Mandamarri,Green Gram,56.0,208.0
2016-2017,Kharif,Mancherial,Kasipet,Green Gram,66.0,142.0
2016-2017,Kharif,Mancherial,Tandur,Green Gram,88.0,74.0
2016-2017,Kharif,Mancherial,Bellampalle,Green Gram,1.0,210.0
2016-2017,Kharif,Mancherial,Bhimini,Green Gram,22.0,345.0
2016-2017,Kharif,Mancherial,Nennal,Green Gram,9.0,45.0
2016-2017,Kharif,Mancherial,Vemanpalle,Green Gram,31.0,40.0
2016-2017,Kharif,Mancherial,Jannaram,Black Gram,11.0,22.0
2016-2017,Kharif,Mancherial,Mancherial,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Black Gram,0.0,6.0
2016-2017,Kharif,Mancherial,Chennur,Black Gram,13.0,28.0
2016-2017,Kharif,Mancherial,Kotapalle,Black Gram,1.0,20.0
2016-2017,Kharif,Mancherial,Jaipur,Black Gram,4.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Black Gram,0.0,3.0
2016-2017,Kharif,Mancherial,Tandur,Black Gram,4.0,26.0
2016-2017,Kharif,Mancherial,Bellampalle,Black Gram,0.0,10.0
2016-2017,Kharif,Mancherial,Bhimini,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Red Gram,223.0,282.0
2016-2017,Kharif,Mancherial,Mancherial,Red Gram,75.0,295.0
2016-2017,Kharif,Mancherial,Dandepalle,Red Gram,119.0,785.0
2016-2017,Kharif,Mancherial,Luxettipet,Red Gram,75.0,470.0
2016-2017,Kharif,Mancherial,Chennur,Red Gram,133.0,290.0
2016-2017,Kharif,Mancherial,Kotapalle,Red Gram,35.0,342.0
2016-2017,Kharif,Mancherial,Jaipur,Red Gram,101.0,914.0
2016-2017,Kharif,Mancherial,Mandamarri,Red Gram,104.0,354.0
2016-2017,Kharif,Mancherial,Kasipet,Red Gram,360.0,790.0
2016-2017,Kharif,Mancherial,Tandur,Red Gram,244.0,530.0
2016-2017,Kharif,Mancherial,Bellampalle,Red Gram,185.0,285.0
2016-2017,Kharif,Mancherial,Bhimini,Red Gram,487.0,954.0
2016-2017,Kharif,Mancherial,Nennal,Red Gram,71.0,254.0
2016-2017,Kharif,Mancherial,Vemanpalle,Red Gram,61.0,123.0
2016-2017,Kharif,Mancherial,Jannaram,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Cow Gram,4.0,5.0
2016-2017,Kharif,Mancherial,Kotapalle,Cow Gram,0.0,3.0
2016-2017,Kharif,Mancherial,Jaipur,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Cow Gram,1.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Other pulses,35.0,23.0
2016-2017,Kharif,Mancherial,Mancherial,Other pulses,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Other pulses,1.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Other pulses,10.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Other pulses,32.0,9.0
2016-2017,Kharif,Mancherial,Kotapalle,Other pulses,0.0,5.0
2016-2017,Kharif,Mancherial,Jaipur,Other pulses,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Other pulses,0.0,20.0
2016-2017,Kharif,Mancherial,Kasipet,Other pulses,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Other pulses,18.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Other pulses,22.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Other pulses,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Other pulses,14.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Other pulses,10.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Chillies,98.0,26.0
2016-2017,Kharif,Mancherial,Mancherial,Chillies,8.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Chillies,27.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Chillies,24.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Chillies,60.0,80.0
2016-2017,Kharif,Mancherial,Kotapalle,Chillies,102.0,110.0
2016-2017,Kharif,Mancherial,Jaipur,Chillies,8.0,25.0
2016-2017,Kharif,Mancherial,Mandamarri,Chillies,2.0,8.0
2016-2017,Kharif,Mancherial,Kasipet,Chillies,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Chillies,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Chillies,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Chillies,7.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Chillies,2.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Chillies,32.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Turmeric,71.0,66.0
2016-2017,Kharif,Mancherial,Mancherial,Turmeric,2.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Turmeric,18.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Turmeric,3.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Turmeric,1.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Turmeric,2.0,2.0
2016-2017,Kharif,Mancherial,Jaipur,Turmeric,8.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Turmeric,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Turmeric,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Turmeric,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Turmeric,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Turmeric,42.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Turmeric,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Turmeric,24.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Sugarcane,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Onions,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Other food crops,218.0,34.0
2016-2017,Kharif,Mancherial,Mancherial,Other food crops,61.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Other food crops,239.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Other food crops,75.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Other food crops,634.0,590.0
2016-2017,Kharif,Mancherial,Kotapalle,Other food crops,187.0,178.0
2016-2017,Kharif,Mancherial,Jaipur,Other food crops,1366.0,1450.0
2016-2017,Kharif,Mancherial,Mandamarri,Other food crops,242.0,350.0
2016-2017,Kharif,Mancherial,Kasipet,Other food crops,40.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Other food crops,497.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Other food crops,337.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Other food crops,158.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Other food crops,1943.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Other food crops,19.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Cotton,3455.0,2520.0
2016-2017,Kharif,Mancherial,Mancherial,Cotton,3993.0,2950.0
2016-2017,Kharif,Mancherial,Dandepalle,Cotton,4851.0,2750.0
2016-2017,Kharif,Mancherial,Luxettipet,Cotton,5318.0,3950.0
2016-2017,Kharif,Mancherial,Chennur,Cotton,6582.0,5888.0
2016-2017,Kharif,Mancherial,Kotapalle,Cotton,5573.0,4556.0
2016-2017,Kharif,Mancherial,Jaipur,Cotton,3768.0,2123.0
2016-2017,Kharif,Mancherial,Mandamarri,Cotton,2047.0,850.0
2016-2017,Kharif,Mancherial,Kasipet,Cotton,3397.0,2100.0
2016-2017,Kharif,Mancherial,Tandur,Cotton,2055.0,2100.0
2016-2017,Kharif,Mancherial,Bellampalle,Cotton,1435.0,1250.0
2016-2017,Kharif,Mancherial,Bhimini,Cotton,6003.0,5750.0
2016-2017,Kharif,Mancherial,Nennal,Cotton,2531.0,1910.0
2016-2017,Kharif,Mancherial,Vemanpalle,Cotton,3411.0,2100.0
2016-2017,Kharif,Mancherial,Jannaram,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Groundnut,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Sesamum,11.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Sesamum,89.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Sesamum,10.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Sesamum,1.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Sesamum,6.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Sesamum,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Sesamum,22.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Sunflower,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Castor,1.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Castor,9.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Castor,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Soyabean,42.0,25.0
2016-2017,Kharif,Mancherial,Mancherial,Soyabean,5.0,3.0
2016-2017,Kharif,Mancherial,Dandepalle,Soyabean,5.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Soyabean,10.0,5.0
2016-2017,Kharif,Mancherial,Chennur,Soyabean,299.0,302.0
2016-2017,Kharif,Mancherial,Kotapalle,Soyabean,84.0,130.0
2016-2017,Kharif,Mancherial,Jaipur,Soyabean,64.0,30.0
2016-2017,Kharif,Mancherial,Mandamarri,Soyabean,4.0,4.0
2016-2017,Kharif,Mancherial,Kasipet,Soyabean,2.0,10.0
2016-2017,Kharif,Mancherial,Tandur,Soyabean,8.0,2.0
2016-2017,Kharif,Mancherial,Bellampalle,Soyabean,8.0,10.0
2016-2017,Kharif,Mancherial,Bhimini,Soyabean,30.0,52.0
2016-2017,Kharif,Mancherial,Nennal,Soyabean,10.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Soyabean,142.0,110.0
2016-2017,Kharif,Mancherial,Jannaram,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Other oil seeds,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Tobacco,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Other non-food crops,2.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Other non-food crops,6.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Other non-food crops,8.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Other non-food crops,10.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Other non-food crops,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Other non-food crops,0.0,0.0
2017-2018,Kharif,Siddipet,Dubbak,Paddy,2373.0,1212.0
2017-2018,Kharif,Siddipet,Siddipet Rural,Paddy,2452.0,1240.0
2017-2018,Kharif,Siddipet,Chinnakodur,Paddy,2134.0,1052.0
2017-2018,Kharif,Siddipet,Bejjanki,Paddy,1572.0,634.0
2017-2018,Kharif,Siddipet,Koheda,Paddy,2268.0,1633.0
2017-2018,Kharif,Siddipet,Husnabad,Paddy,2483.0,1328.0
2017-2018,Kharif,Siddipet,Akkannapet,Paddy,278.0,1035.0
2017-2018,Kharif,Siddipet,Nanganoor,Paddy,1985.0,1350.0
2017-2018,Kharif,Siddipet,Siddipet Urban,Paddy,205.0,900.0
2017-2018,Kharif,Siddipet,Thoguta,Paddy,1805.0,1530.0
2017-2018,Kharif,Siddipet,Mirdoddi,Paddy,1966.0,642.0
2017-2018,Kharif,Siddipet,Doulthabad,Paddy,1072.0,1232.0
2017-2018,Kharif,Siddipet,Raypole,Paddy,124.0,1011.0
2017-2018,Kharif,Siddipet,Wargal,Paddy,1197.0,624.0
2017-2018,Kharif,Siddipet,Mulugu,Paddy,1600.0,582.0
2017-2018,Kharif,Siddipet,Markook,Paddy,68.0,534.0
2017-2018,Kharif,Siddipet,Jagdevpur,Paddy,1173.0,819.0
2017-2018,Kharif,Siddipet,Gajwel,Paddy,1214.0,448.0
2017-2018,Kharif,Siddipet,Kondapak,Paddy,1771.0,484.0
2017-2018,Kharif,Siddipet,Komuravelly,Paddy,166.0,1088.0
2017-2018,Kharif,Siddipet,Cherial,Paddy,1993.0,1161.0
2017-2018,Kharif,Siddipet,Maddur,Paddy,1823.0,2150.0
2017-2018,Kharif,Siddipet,Dubbak,Maize,8885.0,4080.0
2017-2018,Kharif,Siddipet,Siddipet Rural,Maize,6770.0,3966.0
2017-2018,Kharif,Siddipet,Chinnakodur,Maize,7115.0,3324.0
2017-2018,Kharif,Siddipet,Bejjanki,Maize,1628.0,1640.0
2017-2018,Kharif,Siddipet,Koheda,Maize,1936.0,1870.0
2017-2018,Kharif,Siddipet,Husnabad,Maize,5104.0,2160.0
2017-2018,Kharif,Siddipet,Akkannapet,Maize,780.0,3788.0
2017-2018,Kharif,Siddipet,Nanganoor,Maize,5340.0,2450.0
2017-2018,Kharif,Siddipet,Siddipet Urban,Maize,581.0,2900.0
2017-2018,Kharif,Siddipet,Thoguta,Maize,4606.0,2426.0
2017-2018,Kharif,Siddipet,Mirdoddi,Maize,8420.0,4664.0
2017-2018,Kharif,Siddipet,Doulthabad,Maize,8164.0,5844.0
2017-2018,Kharif,Siddipet,Raypole,Maize,928.0,3726.0
2017-2018,Kharif,Siddipet,Wargal,Maize,2701.0,3098.0
2017-2018,Kharif,Siddipet,Mulugu,Maize,2725.0,1724.0
2017-2018,Kharif,Siddipet,Markook,Maize,613.0,1894.0
2017-2018,Kharif,Siddipet,Jagdevpur,Maize,6057.0,4694.0
2017-2018,Kharif,Siddipet,Gajwel,Maize,5389.0,5240.0
2017-2018,Kharif,Siddipet,Kondapak,Maize,3741.0,3027.0
2017-2018,Kharif,Siddipet,Komuravelly,Maize,270.0,1970.0
2017-2018,Kharif,Siddipet,Cherial,Maize,4639.0,1285.0
2017-2018,Kharif,Siddipet,Maddur,Maize,2642.0,3172.0
2017-2018,Kharif,Siddipet,Dubbak,Cotton,658.0,2449.0
2017-2018,Kharif,Siddipet,Siddipet Rural,Cotton,1306.0,2191.0
2017-2018,Kharif,Siddipet,Chinnakodur,Cotton,2694.0,2684.0
2017-2018,Kharif,Siddipet,Bejjanki,Cotton,9751.0,8426.0
2017-2018,Kharif,Siddipet,Koheda,Cotton,6353.0,7426.0
2017-2018,Kharif,Siddipet,Husnabad,Cotton,5691.0,5017.0
2017-2018,Kharif,Siddipet,Akkannapet,Cotton,982.0,5787.0
2017-2018,Kharif,Siddipet,Nanganoor,Cotton,3079.0,3462.0
2017-2018,Kharif,Siddipet,Siddipet Urban,Cotton,107.0,2050.0
2017-2018,Kharif,Siddipet,Thoguta,Cotton,2474.0,1418.0
2017-2018,Kharif,Siddipet,Mirdoddi,Cotton,1045.0,2394.0
2017-2018,Kharif,Siddipet,Doulthabad,Cotton,2888.0,1072.0
2017-2018,Kharif,Siddipet,Raypole,Cotton,172.0,3467.0
2017-2018,Kharif,Siddipet,Wargal,Cotton,2190.0,3039.0
2017-2018,Kharif,Siddipet,Mulugu,Cotton,1889.0,2248.0
2017-2018,Kharif,Siddipet,Markook,Cotton,283.0,2081.0
2017-2018,Kharif,Siddipet,Jagdevpur,Cotton,6167.0,7242.0
2017-2018,Kharif,Siddipet,Gajwel,Cotton,5717.0,5035.0
2017-2018,Kharif,Siddipet,Kondapak,Cotton,3943.0,3827.0
2017-2018,Kharif,Siddipet,Komuravelly,Cotton,339.0,1486.0
2017-2018,Kharif,Siddipet,Cherial,Cotton,6844.0,8854.0
2017-2018,Kharif,Siddipet,Maddur,Cotton,2910.0,4624.0
